tree_id,Zmax,Zmean,Zsd,Zskew,Zkurt,Zentropy,Zq5,Zq10,Zq15,Zq20,Zq25,Zq30,Zq35,Zq40,Zq45,Zq50,Zq55,Zq60,Zq65,Zq70,Zq75,Zq80,Zq85,Zq90,Zq95,Zpcum5,Zpcum10,Zpcum15,Zpcum20,Zpcum25,Zpcum30,Zpcum35,Zpcum40,Zpcum45,Zpcum50,Zpcum55,Zpcum60,Zpcum65,Zpcum70,Zpcum75,Zpcum80,Zpcum85,Zpcum90,Zpcum95,Itot,Imax,Imean,Isd,Iskew,Ikurt,Ipcumzq5,Ipcumzq10,Ipcumzq15,Ipcumzq20,Ipcumzq25,Ipcumzq30,Ipcumzq35,Ipcumzq40,Ipcumzq45,Ipcumzq50,Ipcumzq55,Ipcumzq60,Ipcumzq65,Ipcumzq70,Ipcumzq75,Ipcumzq80,Ipcumzq85,Ipcumzq90,Ipcumzq95,p1th,p2th,p3th,p4th,slope_mean,dtm_mean,aspect_mean,Common Name,group_id
19.0,-19.608799999999995,-25.410314176012378,5.106004059223058,-1.8729970182472464,3.2927322761076,3.816217243571913,-39.2597,-31.184500000000003,-28.9053,-27.674100000000003,-26.8594,-26.1335,-25.6009,-24.9552,-24.322700000000005,-23.7409,-23.2557,-22.8953,-22.516,-22.2368,-21.9494,-21.705,-21.4671,-21.1682,-20.779100000000003,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,336902507.0,56382.0,18612.369869068007,12650.657203762656,0.7109895727393879,-0.1079840377693037,3.2408770410248087,5.989803156911504,9.558849023346683,13.7645033908875,18.17496626702157,23.817984233640622,28.420735082271143,32.76392864598066,37.08845954061125,42.31323603656057,47.06099946000105,52.10278948740503,57.68324870316266,63.51605926161897,69.89851636811952,75.99634721625861,82.1127371426773,88.41233259211099,94.7224747128403,75.47096845478151,22.03745649411635,2.41423125794155,0.0773437931605988,3.5927054999545045,50.47590204408596,196.7469030762375,Mahogany,1
20.0,-20.1856,-26.12343157259281,5.654511845559882,-1.1852163154596802,0.4877172891793622,3.80009755853758,-37.370470000000005,-33.993320000000004,-33.28402,-32.3713,-31.50955,-27.35672,-25.724680000000003,-24.737640000000003,-24.03107,-23.578,-23.14705,-22.68786,-22.30555,-22.04548,-21.8244,-21.61284,-21.40834,-21.22938,-21.014760000000003,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150163787.0,56364.0,15108.540798873126,10395.841941971405,0.7621604177355097,0.4106075439458805,3.4059669792424723,6.666338935631664,10.806680041973102,16.521816275184907,21.167028106450196,24.04965719198331,27.41313722995012,31.88773002907818,35.99558194413411,40.24799933954783,44.9396890876227,49.95729762729013,55.88491118700942,62.08709027829725,68.49301156742938,74.88883388376453,81.30271781171848,87.28778530339008,93.69997441526964,67.119428513935,28.433444008451552,4.1955931180199215,0.2414729852097796,2.189353442792714,50.30590992051514,259.4537342064668,Mahogany,1
21.0,-18.06,-24.81927507495763,6.175692431125944,-1.1666265142533356,0.5420811827783871,3.836128878559222,-36.63325,-35.6235,-33.15835,-29.6612,-27.3076,-26.1453,-25.4614,-24.7319,-23.87245,-22.7411,-21.8476,-20.995400000000004,-20.52385,-20.194,-19.91725,-19.6319,-19.37335,-19.0949,-18.810450000000003,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,123380728.0,57168.0,16084.04745144049,10722.897907413824,0.6438526666802699,0.1513151654484721,2.77196289521002,6.834171054656121,9.809079745420208,13.60268193586927,17.45442772877787,21.8788026603312,27.377037360324213,33.10190388891205,37.77690061935767,41.90496833508715,45.94033842951551,50.819604500955776,55.701247766993234,61.459993168463065,67.56354525643583,74.39092513702789,80.71828446335638,87.1839198420032,93.91158803990848,73.6279494198931,22.86533698344414,3.285099726241689,0.2216138704210663,20.02948648962981,50.79333451961935,186.97593405421435,Mahogany,1
22.0,-17.805099999999996,-30.91035098947699,6.033846073696832,0.1720617855775873,-0.5976489198989343,4.288220696170785,-39.98526,-37.75775,-37.08936,-36.31988,-35.583275,-34.683670000000006,-34.11631,-33.53809999999999,-32.57374000000001,-31.511,-30.50153,-29.25442,-28.11568,-27.35232,-26.519975,-25.60398,-24.254025,-22.52017,-19.686915000000003,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,505554663.0,58903.0,19850.58359509973,13354.436028801389,0.7237588492766827,0.0104572001581173,3.362037232361557,7.869948773472197,13.399334030076982,18.776380072672776,24.350977650857907,29.49622244904504,35.09503382822126,41.17372902166269,46.40644091932745,50.863277469166576,54.774425846805016,59.35581035279661,64.17779000883233,69.13944120816072,74.21661483122351,79.95613542585403,85.98510523480228,90.80730544067794,94.72569279812971,77.62289932464269,20.5159415737396,1.814041149678027,0.0431914559447149,37.47873471086929,53.42041458693262,251.04915460733463,Mahogany,1
23.0,-17.9418,-25.469767443629824,6.118729797052299,-1.2247830875950685,1.3419563873790423,3.984790228491258,-37.457075,-33.627770000000005,-31.699105000000003,-30.46026,-29.48085,-27.361160000000005,-26.69971,-25.89688,-24.451245,-23.677350000000004,-23.12203,-22.41334,-21.645109999999995,-21.06456,-20.3725,-20.00074,-19.700065,-19.3884,-19.01947,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,219802382.0,56827.0,15202.820722091576,10747.442209424216,0.9390863932020566,0.8193012461707312,3.0486312018220074,6.08822519493897,10.227924645511804,14.889068854585934,20.59851471491333,24.57393205138241,29.713895002284367,34.35341160224551,38.974135867190014,44.116272133938935,49.22615033353005,53.39039819868741,57.90365047090344,62.68594896300988,67.99556112180805,73.61800155559733,79.91573312431164,86.66674595000522,93.53593720381063,69.65002074975793,26.69110527043851,3.465209572554987,0.193664407248582,4.035329638897579,50.45256384008854,225.3877416139077,Mahogany,1
24.0,-20.198600000000003,-26.54926615467168,4.449001198239894,-1.172614834563794,1.4456756185700748,3.738013713864313,-33.7603,-33.09423999999999,-31.38848,-30.44208,-29.5091,-28.97974,-27.788240000000005,-26.16102,-25.590300000000003,-25.089,-24.41344,-24.08944,-23.738280000000003,-23.36772,-23.055100000000003,-22.75152,-22.4817,-22.12908,-21.77038,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,243644369.0,55606.0,16342.100006707358,11169.181739834348,0.8223445749617634,0.297429675576716,3.1319139577570128,6.375436076669598,9.736486460723416,14.167481539456386,18.059572310493248,22.60422279654655,27.805749534888697,31.69946275261547,35.81794168204232,40.76170420339162,45.23796443660063,50.34561582664773,56.16560709433018,62.417323094382695,68.26608128998049,74.2156027418799,79.97486738550481,86.83458266174829,93.37476869822508,72.07726876383393,24.7031994097525,3.152458246696626,0.0670735797169495,1.6783624477797412,50.35793316117781,177.21219767779397,Mahogany,1
25.0,-20.454700000000003,-26.830028824884792,5.32014920712611,-0.9759020847192312,0.2103788099604613,3.95366601738403,-37.805215,-34.39672,-32.84216,-32.14732,-31.324825000000004,-28.53002,-27.615345,-26.80256,-26.10618,-24.96855,-24.277455,-23.73872,-23.277700000000003,-22.843680000000003,-22.49215,-22.14092,-21.7767,-21.44498,-21.156,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,133896005.0,56476.0,15425.80702764977,10061.584998982937,0.6197142124012103,0.3124103382998786,2.950937931269869,5.6507317003222015,8.847258736360358,13.405167689655864,18.650104609170377,22.89073075779968,28.55684081089649,33.18197208348374,37.20804515414781,42.16254846438473,47.30109012587791,52.35809612094102,57.63631409316506,63.50788135911897,69.32174936810101,75.19936461136388,81.2404440296781,87.48176467251581,93.73298254865782,71.73963133640552,24.596774193548388,3.5023041474654377,0.1612903225806451,25.95727285370412,50.91856705069125,350.3843830421139,Mahogany,1
26.0,-18.5751,-26.38268648476145,4.433400329295222,-0.9500549275225292,0.9522506566229834,3.7903619580687327,-34.968115,-33.433429999999994,-31.971825000000003,-29.40146,-27.973375000000004,-27.227660000000004,-26.819845,-26.22984,-25.703945000000004,-25.4326,-25.16998,-24.87414,-24.42181,-24.05644000000001,-23.6575,-23.21928,-22.602735000000003,-21.31974,-19.97183,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,245178319.0,59529.0,19561.05943832775,12088.755046728624,0.5220073013035654,0.0566949168932708,3.703630907103169,7.320945454398029,10.951003787573892,14.780377868566754,18.35611410648427,23.148351057909,28.066623215570708,32.6648552476616,38.07088953897265,42.95964277330737,48.29506600867101,53.90851545890565,60.20020269410527,66.28887034664757,72.52636926677029,78.80688748828561,84.65663311771054,89.11255077166918,94.55689269164132,80.42923248763364,18.190521780756345,1.3323759374501356,0.0478697941598851,26.268776042468986,50.95328386787936,153.18626293785374,Mahogany,1
27.0,-19.978400000000004,-25.664379907493064,5.799110000656698,-1.581601173757864,2.588819423214768,3.580419787492348,-37.37284,-35.03203,-33.022420000000004,-29.27702,-28.016475000000003,-27.454590000000003,-26.635245,-25.3127,-23.583,-22.9159,-22.318705,-22.0209,-21.79136,-21.6074,-21.4298,-21.25334,-21.080500000000004,-20.92557,-20.69558,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,174869376.0,57636.0,16176.630527289546,10472.44968776612,0.5750546580740075,0.1289352403844352,4.061186219364104,6.99077292984679,11.015975718927482,14.18713417265239,18.0387256600035,22.158962813477416,26.75148849390301,31.881896805075804,35.651434474152865,39.80996363823017,44.84342415678317,50.26809954419921,56.220790197135486,62.623696901623305,68.61673595724388,75.09397185702773,81.46746117513452,87.97188880001492,94.13455218139512,72.69195189639223,23.987049028677152,3.2377428307123037,0.0832562442183163,2.0985425282966075,50.311123515263645,167.85741624001326,Mahogany,1
28.0,-19.7479,-26.53115941929134,6.05666076772544,-1.1152323814309646,1.1990606034427378,3.7766070877414735,-37.308235,-33.69318,-33.04161499999999,-31.80616,-30.8744,-30.441490000000005,-29.84711,-27.361639999999998,-25.26281,-23.70375,-22.859585,-22.46718,-22.108125000000005,-21.81011,-21.598325,-21.31462,-21.027355,-20.75306,-20.425890000000003,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,159280211.0,55425.0,15677.186122047244,10758.29709013735,0.8497307612827241,0.5757547657693771,4.4531621068734015,8.48390450713303,12.804596297276378,17.312420561773365,21.190983354485887,25.582096322059744,30.442059748401512,34.471317343998244,38.17783616572432,41.76584685714661,45.66322366310778,50.60311352802013,56.083638663688106,61.95509497410197,67.90112175328548,73.86374381435243,80.0808519772742,86.76554427718582,93.548916757776,68.99606299212599,27.47047244094488,3.375984251968504,0.1574803149606299,0.6677541473738494,50.22335501968504,217.1288422438016,Mahogany,1
